Genes,AMH,CBX2,CTNNB1,DHH,DKK1,DMRT1,FGF9,FOXL2,GATA4,NR0B1,NR5A1,PGD2,RSPO1,SOX9,SRY,UGR,WNT4,WT1mKTS,WT1pKTS
AMH,0,0,-1,0,0,0,0,0,1,-1,1,0,0,1,0,0,0,1,0
CBX2,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0
CTNNB1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,1,0,0
DKK1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DHH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
DMRT1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0
FGF9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
FOXL2,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0
GATA4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
NR0B1,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,1,0
NR5A1,0,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,1,0
PGD2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RSPO1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SOX9,0,1,-1,0,0,0,1,-1,1,0,1,1,0,1,1,0,-1,0,0
SRY,0,1,-1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
UGR,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0
WNT4,0,0,1,-1,0,0,-1,0,1,1,0,0,1,0,0,0,0,0,0
WT1mKTS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
WT1pKTS,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0